cecha;kategoria;liderzy_%;maruderzy_%;p_value
publicznosc_status;publiczna;100.0;96.55172413793103;0.011718552934934037
publicznosc_status;niepubliczna;0.0;3.4482758620689653;0.011718552934934037
typ_gminy;gmina miejska;100.0;100.0;
kategoria_uczniow;Dzieci lub młodzież;100.0;86.20689655172413;1.5607033751169563e-08
kategoria_uczniow;Dorośli;0.0;13.793103448275861;1.5607033751169563e-08
wojewodztwo;MAZOWIECKIE;44.827586206896555;31.03448275862069;0.3302354987299085
wojewodztwo;ZACHODNIOPOMORSKIE;13.793103448275861;10.344827586206897;0.3302354987299085
wojewodztwo;ŚLĄSKIE;13.793103448275861;0.0;0.3302354987299085
liczba_uczniow;median;593.0;463.0;0.2763196023438097
n_zdajacych;median;112.0;49.0;0.041574661170359226
